rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,magnetic_field,x,y,z,magnetic_field_covariance
1749500917935698531,,20302,,1748034779,508004736,"""base_link""",,-2.0147050917148592e-05,-4.393278062343601e-06,-2.558097839355469e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500917975387371,,20303,,1748034779,527970736,"""base_link""",,-1.9196082651615143e-05,-7.083969563245777e-06,-2.6881277561187744e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500918250506202,,20304,,1748034779,663219504,"""base_link""",,-2.2265231609344484e-05,-6.521375477313998e-06,-2.4143195152282716e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500918290468162,,20305,,1748034779,687950016,"""base_link""",,-1.620039939880371e-05,-5.814213305711749e-06,-2.193776518106461e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500918496291684,,20306,,1748034779,787937272,"""base_link""",,-1.9365033507347106e-05,-3.979310393333439e-06,-2.4540360271930695e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500918534340115,,20307,,1748034779,807935272,"""base_link""",,-2.1044744551181793e-05,-5.6668620556592966e-06,-2.3996907472610476e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500918776155129,,20308,,1748034779,927897552,"""base_link""",,-2.0542921125888825e-05,-6.1336204409599344e-06,-2.567313015460968e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500918815132176,,20309,,1748034779,947837552,"""base_link""",,-1.9766058027744295e-05,-1.0245567560195924e-05,-1.9433869421482086e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500919057433273,,20310,,1748034780,67775832,"""base_link""",,-2.2951143980026246e-05,-5.149022862315181e-06,-2.4537190794944763e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500919095390609,,20311,,1748034780,87764344,"""base_link""",,-1.942766308784485e-05,-4.275456070899967e-06,-2.492644786834717e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500919333163271,,20312,,1748034780,202728856,"""base_link""",,-1.97223037481308e-05,-5.552509799599651e-06,-2.5453969836235048e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500919417419145,,20313,,1748034780,247687856,"""base_link""",,-2.2133590281009676e-05,-3.7784926593303713e-06,-2.5633201003074648e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500919613220073,,20314,,1748034780,347680088,"""base_link""",,-1.9256275892257692e-05,-4.723443835973743e-06,-2.5784587860107424e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500919654791030,,20315,,1748034780,367655088,"""base_link""",,-1.929074376821518e-05,-3.916900604963305e-06,-2.1811053156852724e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500919892167922,,20316,,1748034780,487611136,"""base_link""",,-2.064579874277115e-05,-5.167753621935847e-06,-2.3660954833030703e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500919972250453,,20317,,1748034780,527724136,"""base_link""",,-2.0905694365501404e-05,-6.348071992397312e-06,-2.6139119267463684e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500920175850690,,20318,,1748034780,622576624,"""base_link""",,-2.550836205482483e-05,-7.765871286392216e-06,-2.486843317747116e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500920255797834,,20319,,1748034780,667533624,"""base_link""",,-2.0238187909126283e-05,-5.296828225255016e-06,-2.507084012031555e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500920495359659,,20320,,1748034780,787480904,"""base_link""",,-1.7968791723251342e-05,-4.07398454844952e-06,-2.8984528779983523e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500920774830558,,20321,,1748034780,922455160,"""base_link""",,-1.970665156841278e-05,-2.9922632500529315e-06,-2.0844143629074097e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500921014569134,,20322,,1748034781,47442672,"""base_link""",,-1.970849484205246e-05,-4.951971024274829e-06,-2.5566652417182923e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500921090326095,,20323,,1748034781,87398928,"""base_link""",,-2.668029069900513e-05,-1.1666798591613771e-05,-1.979147493839264e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500921330112076,,20324,,1748034781,207390464,"""base_link""",,-1.8222512304782868e-05,-4.557202383875851e-06,-2.6219439506530763e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500921373993450,,20325,,1748034781,222462464,"""base_link""",,-1.9529415667057037e-05,-4.581562057137493e-06,-2.7025261521339418e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500921616408149,,20326,,1748034781,342283744,"""base_link""",,-2.0587633550167086e-05,-4.456622526049617e-06,-2.052036076784134e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500921893025840,,20327,,1748034781,487238280,"""base_link""",,-1.7998091876506806e-05,-3.474806994199756e-06,-2.4879063665866853e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500922134686969,,20328,,1748034781,607172792,"""base_link""",,-2.0309795439243317e-05,-6.528533995151523e-06,-2.542308568954468e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500922172829457,,20329,,1748034781,627191792,"""base_link""",,-1.88102588057518e-05,-1.595384627580646e-06,-2.6209506392478944e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500922417838266,,20330,,1748034781,747127072,"""base_link""",,-2.2608570754528046e-05,-5.646329745650295e-06,-2.6853054761886596e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500922452204527,,20331,,1748034781,762127072,"""base_link""",,-1.6630683839321136e-05,-2.9441833496093785e-06,-2.62507826089859e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500922694201611,,20332,,1748034781,887094352,"""base_link""",,-2.289552986621857e-05,-5.418195948004727e-06,-2.551272213459015e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500922733884680,,20333,,1748034781,907111352,"""base_link""",,-2.283575385808945e-05,-5.3665358573198356e-06,-2.7100181579589846e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500922975708060,,20334,,1748034782,27062632,"""base_link""",,-2.071589827537537e-05,-5.214477330446247e-06,-2.6994061470031738e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500923016378717,,20335,,1748034782,47004632,"""base_link""",,-2.1064725518226626e-05,-5.359286814928058e-06,-2.3163439333438876e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500923252804916,,20336,,1748034782,162025864,"""base_link""",,-2.0369546115398408e-05,-5.860375240445141e-06,-2.5198736786842347e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500923295039880,,20337,,1748034782,187030376,"""base_link""",,-1.9724249839782715e-05,-5.659309029579166e-06,-2.789987623691559e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500923534493476,,20338,,1748034782,306958144,"""base_link""",,-2.2666028141975403e-05,-5.677752941846851e-06,-2.6574307680130007e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500923615515174,,20339,,1748034782,346907144,"""base_link""",,-1.8509912490844727e-05,-3.2118432223796874e-06,-2.5256192684173586e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500923851998379,,20340,,1748034782,466944400,"""base_link""",,-1.86493843793869e-05,-4.786918684840206e-06,-2.5099337100982668e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500923897805424,,20341,,1748034782,486977680,"""base_link""",,-2.4996390938758853e-05,-4.236855730414394e-06,-2.6731935143470766e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500924133613822,,20342,,1748034782,606812960,"""base_link""",,-2.4417525529861453e-05,-3.5619962960481674e-06,-2.363823652267456e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500924375230071,,20343,,1748034782,726820984,"""base_link""",,-2.4249185621738437e-05,-3.999753668904308e-06,-2.524014711380005e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500924452946538,,20344,,1748034782,766733984,"""base_link""",,-2.0911152660846712e-05,-1.419321633875373e-06,-2.2118525207042696e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500924692764416,,20345,,1748034782,886706008,"""base_link""",,-2.3529039323329926e-05,-4.330803453922275e-06,-2.4112391471862795e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500924934551648,,20346,,1748034783,6707032,"""base_link""",,-2.1895015239715576e-05,-3.702763468027118e-06,-2.4273061752319336e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500924972243978,,20347,,1748034783,26670032,"""base_link""",,-2.019450515508652e-05,-5.494056642055515e-06,-2.647974491119385e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500925253944108,,20348,,1748034783,166582032,"""base_link""",,-1.7427988350391388e-05,-4.0445733815431625e-06,-2.3021344840526582e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500925494640413,,20349,,1748034783,286574800,"""base_link""",,-1.8991415202617647e-05,-2.668353170156482e-06,-2.5561717152595523e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500925535360943,,20350,,1748034783,306749800,"""base_link""",,-1.6265477240085603e-05,-5.586437880992921e-07,-2.5744062662124634e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500925773119514,,20351,,1748034783,426543800,"""base_link""",,-2.0066456496715548e-05,-3.645902872085575e-06,-2.6172205805778506e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500925852767291,,20352,,1748034783,466491800,"""base_link""",,-1.4564494788646698e-05,-1.7230961471796067e-06,-2.5179901719093325e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500926096567631,,20353,,1748034783,586494080,"""base_link""",,-2.2507931292057038e-05,-1.077567320317033e-06,-2.602902948856354e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500926332074668,,20354,,1748034783,701516360,"""base_link""",,-2.0217922329902648e-05,-4.2355086654424705e-06,-2.4815137684345247e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500926371821822,,20355,,1748034783,726512360,"""base_link""",,-1.8430061638355256e-05,-3.1917374581098593e-06,-2.873668372631073e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500926616189011,,20356,,1748034783,846341640,"""base_link""",,-2.0149339735507965e-05,-2.1327275782823595e-06,-2.4257320165634156e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500926692405511,,20357,,1748034783,886376408,"""base_link""",,-2.015923410654068e-05,-2.239381521940235e-06,-2.6342990994453432e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500926895982980,,20358,,1748034783,986282432,"""base_link""",,-2.0399248600006106e-05,-3.7058100104332004e-06,-2.6039484143257144e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500926974964645,,20359,,1748034784,26548432,"""base_link""",,-1.6656635701656342e-05,-6.409908831119541e-06,-2.716878354549408e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500927174854417,,20360,,1748034784,126551200,"""base_link""",,-2.0191234350204468e-05,-5.334875360131267e-06,-2.6746836304664613e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500927256482281,,20361,,1748034784,166219200,"""base_link""",,-1.683516949415207e-05,-3.7994384765625034e-06,-2.8467828035354615e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500927452199558,,20362,,1748034784,266164712,"""base_link""",,-1.851096749305725e-05,-3.3004313707351715e-06,-2.5654253363609314e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500927530040936,,20363,,1748034784,306197992,"""base_link""",,-2.256210893392563e-05,-4.4826261699199706e-06,-2.3240363597869875e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500927773947977,,20364,,1748034784,426164016,"""base_link""",,-1.4317803084850313e-05,-3.5609044134616887e-06,-2.7771976590156557e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500928013259859,,20365,,1748034784,541095784,"""base_link""",,-1.6256107389926912e-05,-1.347925234586004e-06,-2.721344828605652e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500928094810155,,20366,,1748034784,586080296,"""base_link""",,-2.498682886362076e-05,4.52521853148937e-06,-2.225251942873001e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500928330936499,,20367,,1748034784,706011808,"""base_link""",,-1.6393156349658965e-05,3.391405567526814e-06,-2.602573335170746e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500928373061891,,20368,,1748034784,726018808,"""base_link""",,-1.3024047017097473e-05,2.0938925445079776e-06,-2.427431792020798e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500928615460973,,20369,,1748034784,846281064,"""base_link""",,-1.32721945643425e-05,-8.531672880053553e-07,-2.6971641182899475e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500928896052649,,20370,,1748034784,985898832,"""base_link""",,-1.8387797474861147e-05,2.3326035588979687e-06,-2.664039433002472e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500929133872090,,20371,,1748034785,105853112,"""base_link""",,-1.5276484191417694e-05,5.233120173215863e-06,-2.5521427392959597e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500929173554404,,20372,,1748034785,125885112,"""base_link""",,-1.409687101840973e-05,3.213668614625928e-06,-2.4199876189231873e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500929453123016,,20373,,1748034785,266022136,"""base_link""",,-1.8392010033130647e-05,4.2169142514467205e-06,-2.668276131153107e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500929730935858,,20374,,1748034785,405736904,"""base_link""",,-1.523711532354355e-05,7.0280320942401856e-06,-2.6858955621719363e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749500929772627943,,20375,,1748034785,425734904,"""base_link""",,-1.829337328672409e-05,5.024702101945874e-06,-2.798874378204346e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
