rosbagTimestamp,layout,dim,data_offset,data
1727207299199437977,,[],0,"[1.122686505317688, 2.051800489425659, -81.33631896972656]"
1727207299232062870,,[],0,"[1.130383014678955, 2.0654566287994385, -81.34113311767578]"
1727207299265265139,,[],0,"[1.128942608833313, 2.0643410682678223, -81.33126831054688]"
1727207299299908393,,[],0,"[1.1106709241867065, 2.054502487182617, -81.33934020996094]"
1727207299332369174,,[],0,"[1.1261779069900513, 2.064667224884033, -81.34740447998047]"
1727207299363852857,,[],0,"[1.1214770078659058, 2.055711507797241, -81.34490203857422]"
1727207299400835401,,[],0,"[1.1188443899154663, 2.0701065063476562, -81.3499755859375]"
1727207299434030293,,[],0,"[1.1119128465652466, 2.052530288696289, -81.3388671875]"
1727207299464596057,,[],0,"[1.109239935874939, 2.045987606048584, -81.35179138183594]"
1727207299498477905,,[],0,"[1.1449525356292725, 2.0704293251037598, -81.35758972167969]"
1727207299533774755,,[],0,"[1.1250070333480835, 2.0364744663238525, -81.36015319824219]"
1727207299564463584,,[],0,"[1.1018548011779785, 2.0610177516937256, -81.35736846923828]"
1727207299602776074,,[],0,"[1.119269847869873, 2.0673415660858154, -81.3639907836914]"
1727207299636223135,,[],0,"[1.1327319145202637, 2.0542640686035156, -81.35231018066406]"
1727207299665985902,,[],0,"[1.1471613645553589, 2.0622732639312744, -81.35630798339844]"
1727207299697075013,,[],0,"[1.1872246265411377, 2.0647354125976562, -81.3637924194336]"
1727207299732743303,,[],0,"[1.1307384967803955, 2.0518383979797363, -81.3443603515625]"
1727207299764957993,,[],0,"[1.168229103088379, 2.0207302570343018, -81.35570526123047]"
1727207299799772888,,[],0,"[1.154546856880188, 1.9959735870361328, -81.35615539550781]"
1727207299836002322,,[],0,"[1.169174313545227, 2.010711431503296, -81.35553741455078]"
1727207299867165857,,[],0,"[1.0892374515533447, 2.048651695251465, -81.37139892578125]"
1727207299898270685,,[],0,"[1.176813006401062, 2.02128267288208, -81.3956298828125]"
1727207299932843355,,[],0,"[1.1154429912567139, 2.091064214706421, -81.35890197753906]"
1727207299965534979,,[],0,"[1.1530702114105225, 2.024268865585327, -81.37149810791016]"
1727207300001841667,,[],0,"[1.1267290115356445, 2.019437789916992, -81.359619140625]"
1727207300036488261,,[],0,"[1.1099064350128174, 2.0841736793518066, -81.36280822753906]"
1727207300066894842,,[],0,"[1.1365684270858765, 2.0461246967315674, -81.38935852050781]"
1727207300097616020,,[],0,"[1.13901948928833, 2.0520882606506348, -81.36145782470703]"
1727207300133445127,,[],0,"[1.1667821407318115, 2.0735068321228027, -81.37744903564453]"
1727207300164490887,,[],0,"[1.156322956085205, 2.049070358276367, -81.35033416748047]"
1727207300197304411,,[],0,"[1.0400577783584595, 2.0596961975097656, -81.39774322509766]"
1727207300234154517,,[],0,"[1.1785637140274048, 2.06432843208313, -81.3830795288086]"
1727207300264230576,,[],0,"[1.1779998540878296, 2.072582483291626, -81.36727142333984]"
1727207300297848265,,[],0,"[1.1258289813995361, 2.071746349334717, -81.39202117919922]"
1727207300335463499,,[],0,"[1.1700541973114014, 2.061736583709717, -81.36190795898438]"
1727207300363729877,,[],0,"[1.1033713817596436, 2.0564932823181152, -81.36643981933594]"
1727207300396708511,,[],0,"[1.120265245437622, 2.043405532836914, -81.3648452758789]"
1727207300431870291,,[],0,"[1.1621137857437134, 2.0561490058898926, -81.39153289794922]"
1727207300464565092,,[],0,"[1.1663953065872192, 2.07861328125, -81.39578247070312]"
1727207300497521725,,[],0,"[1.0595271587371826, 2.05400013923645, -81.39433288574219]"
1727207300532652701,,[],0,"[1.0500562191009521, 2.0456271171569824, -81.40118408203125]"
1727207300564710202,,[],0,"[1.022355318069458, 1.9976733922958374, -81.41786193847656]"
1727207300597605171,,[],0,"[1.1569818258285522, 2.056854009628296, -81.37566375732422]"
1727207300632460834,,[],0,"[1.148245930671692, 2.061126232147217, -81.39022064208984]"
1727207300665091426,,[],0,"[1.1561284065246582, 2.0317275524139404, -81.37554168701172]"
1727207300699405928,,[],0,"[1.0610849857330322, 2.0094475746154785, -81.43650817871094]"
1727207300733828216,,[],0,"[1.1690202951431274, 2.022765636444092, -81.36767578125]"
1727207300764262936,,[],0,"[1.182715892791748, 2.0176799297332764, -81.38658142089844]"
1727207300797477940,,[],0,"[1.0854445695877075, 2.0074803829193115, -81.40901947021484]"
1727207300832124025,,[],0,"[1.075873613357544, 2.02473783493042, -81.40845489501953]"
1727207300863997318,,[],0,"[1.1627472639083862, 2.055830240249634, -81.38833618164062]"
1727207300897780933,,[],0,"[1.132401704788208, 2.008544921875, -81.40058135986328]"
1727207300933164383,,[],0,"[1.1559475660324097, 1.9754761457443237, -81.39082336425781]"
1727207300963970339,,[],0,"[1.1590989828109741, 2.0110316276550293, -81.41158294677734]"
1727207300998018491,,[],0,"[1.0577963590621948, 2.0280447006225586, -81.44313049316406]"
1727207301033971180,,[],0,"[1.0872676372528076, 1.9992907047271729, -81.42662811279297]"
1727207301064941284,,[],0,"[1.0817073583602905, 2.0305521488189697, -81.45269775390625]"
1727207301097968740,,[],0,"[1.060617208480835, 2.0199365615844727, -81.40689086914062]"
1727207301133074951,,[],0,"[1.1135765314102173, 2.003615140914917, -81.40930938720703]"
1727207301165932653,,[],0,"[1.0837008953094482, 2.0222067832946777, -81.4482421875]"
1727207301199599096,,[],0,"[1.1232540607452393, 2.028228521347046, -81.37799835205078]"
1727207301234142665,,[],0,"[1.1919677257537842, 2.012033700942993, -81.38746643066406]"
1727207301265781595,,[],0,"[1.1902329921722412, 1.9947258234024048, -81.38704681396484]"
1727207301297770647,,[],0,"[1.1787850856781006, 1.9863338470458984, -81.37589263916016]"
1727207301332297550,,[],0,"[1.183686375617981, 2.00831937789917, -81.42346954345703]"
1727207301365545146,,[],0,"[1.2524513006210327, 2.0315299034118652, -81.40458679199219]"
1727207301399114309,,[],0,"[1.2537931203842163, 2.0587973594665527, -81.41078186035156]"
1727207301432384988,,[],0,"[1.2845572233200073, 2.0773959159851074, -81.42652893066406]"
1727207301464812041,,[],0,"[1.3254281282424927, 2.10886549949646, -81.50311279296875]"
1727207301497925154,,[],0,"[1.3655922412872314, 2.1172595024108887, -81.51087951660156]"
1727207301534087924,,[],0,"[1.3868458271026611, 2.1319637298583984, -81.53913116455078]"
1727207301565268547,,[],0,"[1.3630503416061401, 2.1400234699249268, -81.59138488769531]"
1727207301597890199,,[],0,"[1.242605447769165, 2.1309654712677, -81.7304916381836]"
1727207301635352942,,[],0,"[1.1840842962265015, 2.1231629848480225, -81.82687377929688]"
1727207301665846173,,[],0,"[1.2616788148880005, 1.9995933771133423, -82.02842712402344]"
1727207301699015251,,[],0,"[1.3165600299835205, 1.9169710874557495, -82.11259460449219]"
1727207301733126813,,[],0,"[1.192026972770691, 1.7205380201339722, -82.36911010742188]"
1727207301765716430,,[],0,"[1.1107205152511597, 1.3991525173187256, -82.62783813476562]"
1727207301800066055,,[],0,"[1.165086269378662, 1.267377495765686, -82.74707794189453]"
1727207301832776417,,[],0,"[1.2135034799575806, 0.8723977208137512, -83.12710571289062]"
1727207301865429467,,[],0,"[1.3229602575302124, 0.2967826724052429, -83.36929321289062]"
1727207301899090124,,[],0,"[1.285994529724121, 0.0032607929315418005, -83.62434387207031]"
1727207301933877964,,[],0,"[1.493385910987854, -0.46428579092025757, -83.94548797607422]"
1727207301965926938,,[],0,"[1.775986671447754, -0.7872121334075928, -84.47811126708984]"
1727207301999679892,,[],0,"[1.970727801322937, -0.8527724742889404, -84.55411529541016]"
1727207302032964625,,[],0,"[2.3967671394348145, -0.7404221296310425, -85.0749282836914]"
1727207302064042112,,[],0,"[2.774693250656128, -0.6302831768989563, -85.5218505859375]"
1727207302097024940,,[],0,"[2.9649155139923096, -0.6114989519119263, -85.75115203857422]"
1727207302132270961,,[],0,"[3.087517023086548, -0.5676121711730957, -86.12793731689453]"
1727207302165557138,,[],0,"[3.333158016204834, -0.38547781109809875, -86.47240447998047]"
1727207302199638735,,[],0,"[3.301661491394043, -0.2175890952348709, -86.70419311523438]"
1727207302232504961,,[],0,"[3.32865834236145, 0.21897059679031372, -86.99996948242188]"
