rosbagTimestamp,layout,dim,data_offset,data
1727207299199583765,,[],0,"[0.019594576209783554, 0.0358106754720211, -1.4195865392684937]"
1727207299231938919,,[],0,"[0.019728906452655792, 0.036049019545316696, -1.419670581817627]"
1727207299265276723,,[],0,"[0.019703766331076622, 0.036029547452926636, -1.419498324394226]"
1727207299299903303,,[],0,"[0.01938486471772194, 0.03585783392190933, -1.419639229774475]"
1727207299332322662,,[],0,"[0.019655512645840645, 0.036035243421792984, -1.4197800159454346]"
1727207299363875072,,[],0,"[0.01957346685230732, 0.03587893396615982, -1.419736385345459]"
1727207299400696621,,[],0,"[0.01952751725912094, 0.03613017126917839, -1.4198248386383057]"
1727207299434030440,,[],0,"[0.01940654031932354, 0.035823412239551544, -1.419631004333496]"
1727207299464596062,,[],0,"[0.0193598885089159, 0.03570922091603279, -1.4198566675186157]"
1727207299498498633,,[],0,"[0.019983191043138504, 0.03613581135869026, -1.4199578762054443]"
1727207299533791168,,[],0,"[0.019635077565908432, 0.035543184727430344, -1.4200025796890259]"
1727207299564403096,,[],0,"[0.019230995327234268, 0.035971544682979584, -1.4199539422988892]"
1727207299602620430,,[],0,"[0.019534943625330925, 0.036081913858652115, -1.4200695753097534]"
1727207299636228334,,[],0,"[0.019769901409745216, 0.03585367277264595, -1.4198657274246216]"
1727207299666095334,,[],0,"[0.020021742209792137, 0.03599345684051514, -1.4199354648590088]"
1727207299697080964,,[],0,"[0.02072097919881344, 0.036036428064107895, -1.4200661182403564]"
1727207299732750702,,[],0,"[0.01973510906100273, 0.03581133484840393, -1.419726848602295]"
1727207299764949051,,[],0,"[0.02038944512605667, 0.0352683961391449, -1.4199249744415283]"
1727207299799747204,,[],0,"[0.020150642842054367, 0.034836310893297195, -1.4199328422546387]"
1727207299835938080,,[],0,"[0.02040594071149826, 0.035093534737825394, -1.4199219942092896]"
1727207299867147694,,[],0,"[0.01901078037917614, 0.03575571998953819, -1.4201987981796265]"
1727207299898259738,,[],0,"[0.020539261400699615, 0.03527803719043732, -1.4206217527389526]"
1727207299932832234,,[],0,"[0.0194681528955698, 0.03649595379829407, -1.419980764389038]"
1727207299965510734,,[],0,"[0.020124873146414757, 0.0353301540017128, -1.4202005863189697]"
1727207300001628059,,[],0,"[0.019665129482746124, 0.03524583578109741, -1.419993281364441]"
1727207300036511458,,[],0,"[0.01937152072787285, 0.03637569397687912, -1.4200488328933716]"
1727207300066965502,,[],0,"[0.01983686164021492, 0.035711612552404404, -1.420512318611145]"
1727207300097641427,,[],0,"[0.019879639148712158, 0.03581569716334343, -1.42002534866333]"
1727207300134429080,,[],0,"[0.02036418952047825, 0.03618951886892319, -1.4203044176101685]"
1727207300164455290,,[],0,"[0.020181642845273018, 0.03576302155852318, -1.4198312759399414]"
1727207300197303571,,[],0,"[0.018152432516217232, 0.035948481410741806, -1.4206587076187134]"
1727207300234162539,,[],0,"[0.02056981809437275, 0.036029327660799026, -1.4204026460647583]"
1727207300264237893,,[],0,"[0.020559975877404213, 0.03617338836193085, -1.4201266765594482]"
1727207300297788495,,[],0,"[0.01964942179620266, 0.03615879639983177, -1.4205586910247803]"
1727207300335931048,,[],0,"[0.02042129822075367, 0.0359840951859951, -1.4200330972671509]"
1727207300363729875,,[],0,"[0.01925746351480484, 0.03589257970452309, -1.4201122522354126]"
1727207300396700548,,[],0,"[0.019552316516637802, 0.0356641560792923, -1.4200843572616577]"
1727207300431882904,,[],0,"[0.02028271183371544, 0.03588657081127167, -1.4205502271652222]"
1727207300464572308,,[],0,"[0.020357437431812286, 0.03627864643931389, -1.4206244945526123]"
1727207300497559902,,[],0,"[0.018492238596081734, 0.03584906458854675, -1.420599102973938]"
1727207300532663304,,[],0,"[0.018326938152313232, 0.03570292890071869, -1.4207186698913574]"
1727207300564711005,,[],0,"[0.017843466252088547, 0.034865979105234146, -1.4210097789764404]"
1727207300597611399,,[],0,"[0.02019314095377922, 0.03589887544512749, -1.4202731847763062]"
1727207300632468453,,[],0,"[0.02004067227244377, 0.0359734371304512, -1.4205273389816284]"
1727207300665118695,,[],0,"[0.02017824724316597, 0.03546033427119255, -1.4202711582183838]"
1727207300699566049,,[],0,"[0.01851942576467991, 0.0350714772939682, -1.4213351011276245]"
1727207300733380119,,[],0,"[0.02040325477719307, 0.03530392050743103, -1.4201339483261108]"
1727207300764300555,,[],0,"[0.02064228616654873, 0.03521515801548958, -1.4204638004302979]"
1727207300797479377,,[],0,"[0.01894458197057247, 0.035037145018577576, -1.4208555221557617]"
1727207300832116951,,[],0,"[0.01877753809094429, 0.03533834218978882, -1.4208455085754395]"
1727207300863988554,,[],0,"[0.020293768495321274, 0.035881008952856064, -1.4204944372177124]"
1727207300897913810,,[],0,"[0.019764138385653496, 0.035055723041296005, -1.420708179473877]"
1727207300933164387,,[],0,"[0.020175091922283173, 0.0344785638153553, -1.4205379486083984]"
1727207300963956052,,[],0,"[0.020230092108249664, 0.03509912267327309, -1.4209001064300537]"
1727207300998009268,,[],0,"[0.018462028354406357, 0.03539605811238289, -1.4214508533477783]"
1727207301033947848,,[],0,"[0.018976399675011635, 0.03489420562982559, -1.421162724494934]"
1727207301064928796,,[],0,"[0.018879355862736702, 0.03543982282280922, -1.421617865562439]"
1727207301097952525,,[],0,"[0.01851126179099083, 0.035254545509815216, -1.4208183288574219]"
1727207301133086358,,[],0,"[0.0194355770945549, 0.03496968001127243, -1.4208605289459229]"
1727207301165706954,,[],0,"[0.018914148211479187, 0.03529416769742966, -1.4215400218963623]"
1727207301199556050,,[],0,"[0.019604481756687164, 0.035399265587329865, -1.420314073562622]"
1727207301234176926,,[],0,"[0.02080376073718071, 0.035116612911224365, -1.4204792976379395]"
