rosbagTimestamp,layout,dim,data_offset,data
1726109483479016606,,[],0,"[-0.9175416827201843, 3.5479321479797363, -101.79742431640625]"
1726109483505353413,,[],0,"[-1.1117030382156372, 3.2682950496673584, -101.93648529052734]"
1726109483537843062,,[],0,"[-0.5692189335823059, 2.5736827850341797, -102.16697692871094]"
1726109483570871027,,[],0,"[-0.13264228403568268, 2.0626487731933594, -102.39254760742188]"
1726109483606097452,,[],0,"[-0.04805722087621689, 1.8754929304122925, -102.47856903076172]"
1726109483637820391,,[],0,"[0.6228793263435364, 1.195733666419983, -102.71168518066406]"
1726109483670731412,,[],0,"[0.9713247418403625, 0.5425925254821777, -102.7497329711914]"
1726109483707084368,,[],0,"[1.1524111032485962, 0.37034401297569275, -102.91983795166016]"
1726109483738036801,,[],0,"[1.4587514400482178, -0.07237831503152847, -103.0726089477539]"
1726109483770787186,,[],0,"[1.4161195755004883, -0.2263159453868866, -103.27418518066406]"
1726109483804591258,,[],0,"[1.125030517578125, -0.46391594409942627, -103.35076904296875]"
1726109483838636988,,[],0,"[1.0800758600234985, -0.5559660792350769, -103.6018295288086]"
1726109483871566160,,[],0,"[0.832600474357605, -0.7390007376670837, -103.71754455566406]"
1726109483905131063,,[],0,"[0.9769386053085327, -0.6719943881034851, -103.84811401367188]"
1726109483938711436,,[],0,"[0.8009848594665527, -0.5726920962333679, -103.94622039794922]"
1726109483974305767,,[],0,"[0.8422088027000427, -0.38555607199668884, -104.1465072631836]"
1726109484004126475,,[],0,"[0.5353651642799377, -0.277305006980896, -104.28047180175781]"
1726109484039484564,,[],0,"[0.6692498326301575, 0.1444050669670105, -104.52714538574219]"
1726109484072948177,,[],0,"[0.6033763885498047, 0.5644747018814087, -104.73384094238281]"
1726109484107531133,,[],0,"[0.9403253197669983, 0.5573770403862, -104.75767517089844]"
1726109484139254778,,[],0,"[0.9671366214752197, 0.7724388241767883, -105.12088012695312]"
1726109484172807584,,[],0,"[1.315833568572998, 0.6215640902519226, -105.26876831054688]"
1726109484207428521,,[],0,"[1.5853995084762573, 0.805051863193512, -105.4107894897461]"
1726109484239326976,,[],0,"[1.9380134344100952, 0.5176379084587097, -105.57422637939453]"
1726109484271151455,,[],0,"[2.5423243045806885, 0.5677881240844727, -105.73185729980469]"
1726109484305347260,,[],0,"[2.362142324447632, 0.3446543514728546, -105.88101959228516]"
1726109484339214826,,[],0,"[2.658582925796509, 0.14444319903850555, -106.07376098632812]"
1726109484371803932,,[],0,"[2.8226001262664795, -0.04658627137541771, -106.22534942626953]"
1726109484406110799,,[],0,"[2.5933351516723633, -0.1173292025923729, -106.2855453491211]"
1726109484438490993,,[],0,"[2.749854326248169, 0.0844210833311081, -106.50340270996094]"
1726109484472305647,,[],0,"[2.574841022491455, 0.3134510815143585, -106.62699127197266]"
1726109484505250067,,[],0,"[2.609088659286499, 0.46597474813461304, -106.7027359008789]"
1726109484537116656,,[],0,"[2.3132729530334473, 0.6868454217910767, -106.9783706665039]"
1726109484570200190,,[],0,"[2.2590787410736084, 0.749595582485199, -107.11028289794922]"
1726109484604045146,,[],0,"[2.298973321914673, 0.7926023602485657, -107.22391510009766]"
1726109484639134038,,[],0,"[1.9380762577056885, 0.7531741261482239, -107.45802307128906]"
1726109484671943033,,[],0,"[1.8412654399871826, 0.8579310178756714, -107.67051696777344]"
1726109484704766520,,[],0,"[1.928096890449524, 0.8650267124176025, -107.78970336914062]"
1726109484738637022,,[],0,"[1.5341672897338867, 0.7734823226928711, -107.95941162109375]"
1726109484770485794,,[],0,"[1.5272783041000366, 0.571500837802887, -108.10360717773438]"
1726109484804242457,,[],0,"[1.4310725927352905, 0.5683770179748535, -108.15007019042969]"
1726109484838318464,,[],0,"[1.0638785362243652, 0.43293607234954834, -108.1551742553711]"
1726109484879117345,,[],0,"[0.8709934949874878, 0.6007475256919861, -108.32511901855469]"
1726109484906998379,,[],0,"[0.639602780342102, 0.5523481965065002, -108.33528137207031]"
1726109484938263777,,[],0,"[0.7294923663139343, 0.5893062353134155, -108.37019348144531]"
1726109484972118029,,[],0,"[0.5702004432678223, 0.39454036951065063, -108.48548126220703]"
1726109485004053558,,[],0,"[0.5784024596214294, 0.446397602558136, -108.44334411621094]"
1726109485037986856,,[],0,"[0.7660287618637085, 0.6022183895111084, -108.58898162841797]"
1726109485071011931,,[],0,"[0.7804098129272461, 0.8769215941429138, -108.73172760009766]"
1726109485104000677,,[],0,"[0.7606948018074036, 1.0488989353179932, -108.7926025390625]"
1726109485138786995,,[],0,"[0.6312540173530579, 1.4927617311477661, -108.97384643554688]"
1726109485171508921,,[],0,"[0.39786988496780396, 2.0426957607269287, -109.04490661621094]"
1726109485206230772,,[],0,"[0.30315372347831726, 2.3725318908691406, -109.06449127197266]"
1726109485237519943,,[],0,"[0.07579314708709717, 3.2531609535217285, -109.12020874023438]"
1726109485270559934,,[],0,"[-0.2564471662044525, 4.2828826904296875, -109.1150894165039]"
1726109485304035079,,[],0,"[-0.36156678199768066, 4.9372100830078125, -109.15094757080078]"
1726109485337518691,,[],0,"[-0.6054648756980896, 6.354142189025879, -109.22985076904297]"
1726109485370251590,,[],0,"[-0.7115630507469177, 7.708986282348633, -109.23551940917969]"
1726109485404860495,,[],0,"[-0.7404152750968933, 8.441427230834961, -109.25247955322266]"
1726109485438471545,,[],0,"[-0.6707375049591064, 9.76303768157959, -109.29866027832031]"
1726109485471280972,,[],0,"[-0.3593239486217499, 10.80712604522705, -109.31256866455078]"
1726109485505146936,,[],0,"[-0.13137367367744446, 11.2135009765625, -109.2979965209961]"
1726109485538298296,,[],0,"[0.25756970047950745, 12.125873565673828, -109.36892700195312]"
1726109485571289531,,[],0,"[0.7449589967727661, 12.486126899719238, -109.39977264404297]"
1726109485605025442,,[],0,"[1.0332074165344238, 12.482560157775879, -109.40485382080078]"
1726109485638109192,,[],0,"[1.5869461297988892, 12.403035163879395, -109.50906372070312]"
1726109485672121520,,[],0,"[1.8622111082077026, 12.121737480163574, -109.49050903320312]"
1726109485705332915,,[],0,"[2.0581884384155273, 11.819851875305176, -109.64131164550781]"
1726109485737936307,,[],0,"[2.2031471729278564, 11.07102108001709, -109.7221450805664]"
1726109485778825152,,[],0,"[2.1382839679718018, 10.211143493652344, -109.9619140625]"
1726109485804009632,,[],0,"[2.0112054347991943, 9.720890998840332, -109.90969848632812]"
1726109485838473520,,[],0,"[1.9982761144638062, 8.568129539489746, -110.14842987060547]"
1726109485871720699,,[],0,"[2.246030807495117, 7.729023456573486, -110.3501968383789]"
1726109485904698271,,[],0,"[1.9142545461654663, 7.039972305297852, -110.4939193725586]"
1726109485938019717,,[],0,"[1.959570050239563, 6.2124714851379395, -110.73309326171875]"
1726109485970834877,,[],0,"[1.6539896726608276, 5.836793422698975, -111.02244567871094]"
1726109486004595404,,[],0,"[1.7189310789108276, 5.38217306137085, -111.10700988769531]"
1726109486038048067,,[],0,"[1.7136183977127075, 5.190101146697998, -111.32992553710938]"
1726109486072104227,,[],0,"[1.1684573888778687, 4.9344611167907715, -111.60330963134766]"
1726109486104387751,,[],0,"[1.577239990234375, 5.1304731369018555, -111.65396118164062]"
1726109486139058895,,[],0,"[1.410421371459961, 5.369967937469482, -111.9277114868164]"
1726109486171587324,,[],0,"[1.1348203420639038, 5.686023712158203, -112.0443344116211]"
1726109486204150321,,[],0,"[1.0088344812393188, 5.887861728668213, -112.17430877685547]"
1726109486237797393,,[],0,"[1.5225410461425781, 6.967831134796143, -112.27095031738281]"
1726109486270610461,,[],0,"[1.0810602903366089, 7.4644999504089355, -112.4012451171875]"
1726109486306502851,,[],0,"[1.3946501016616821, 7.931822299957275, -112.42276763916016]"
1726109486339922853,,[],0,"[1.286446213722229, 8.373200416564941, -112.4582290649414]"
1726109486378781125,,[],0,"[1.048448085784912, 8.30310344696045, -112.34866333007812]"
1726109486406469135,,[],0,"[1.3033864498138428, 8.151997566223145, -112.30465698242188]"
1726109486437247998,,[],0,"[1.195536494255066, 7.438988208770752, -112.07868957519531]"
1726109486472674012,,[],0,"[1.1397085189819336, 6.771034240722656, -111.8823013305664]"
1726109486505320079,,[],0,"[0.930837869644165, 6.478616714477539, -111.71170806884766]"
1726109486539574619,,[],0,"[0.6790329217910767, 6.158356666564941, -111.42169189453125]"
1726109486572010023,,[],0,"[0.06438562273979187, 6.278873920440674, -111.158447265625]"
1726109486606842969,,[],0,"[-0.19246669113636017, 6.442000865936279, -110.95132446289062]"
1726109486639246243,,[],0,"[-0.6345865726470947, 7.018774509429932, -110.5650634765625]"
1726109486681321733,,[],0,"[-1.045767903327942, 7.796106338500977, -110.14339447021484]"
