rosbagTimestamp,layout,dim,data_offset,data
1726109483478992458,,[],0,"[-0.01601412333548069, 0.06192309781908989, -1.7767002582550049]"
1726109483505356950,,[],0,"[-0.01940287835896015, 0.05704251304268837, -1.7791273593902588]"
1726109483537829039,,[],0,"[-0.009934744797647, 0.04491923749446869, -1.7831501960754395]"
1726109483570851718,,[],0,"[-0.0023150446359068155, 0.03600001335144043, -1.787087082862854]"
1726109483606128523,,[],0,"[-0.0008387567359022796, 0.032733526080846786, -1.7885884046554565]"
1726109483637887257,,[],0,"[0.010871294885873795, 0.020869489759206772, -1.7926571369171143]"
1726109483670718576,,[],0,"[0.016952814534306526, 0.009470026008784771, -1.793321132659912]"
1726109483706890384,,[],0,"[0.020113367587327957, 0.006463722325861454, -1.7962900400161743]"
1726109483737942169,,[],0,"[0.02546001598238945, -0.0012632398866117, -1.7989563941955566]"
1726109483770373039,,[],0,"[0.024715948849916458, -0.003949958365410566, -1.8024744987487793]"
1726109483804293178,,[],0,"[0.019635485485196114, -0.008096860721707344, -1.8038111925125122]"
1726109483838627995,,[],0,"[0.01885087974369526, -0.009703438729047775, -1.8081929683685303]"
1726109483871536797,,[],0,"[0.014531618915498257, -0.012897996231913567, -1.8102127313613892]"
1726109483905096966,,[],0,"[0.017050795257091522, -0.011728513985872269, -1.812491536140442]"
1726109483938376281,,[],0,"[0.01397982332855463, -0.009995361790060997, -1.8142037391662598]"
1726109483974329690,,[],0,"[0.014699316583573818, -0.00672922283411026, -1.8176994323730469]"
1726109484004105604,,[],0,"[0.009343883953988552, -0.004839885514229536, -1.820037603378296]"
1726109484039381511,,[],0,"[0.01168061327189207, 0.002520343754440546, -1.8243428468704224]"
1726109484072826365,,[],0,"[0.010530904866755009, 0.009851941838860512, -1.827950358390808]"
1726109484107497738,,[],0,"[0.01641177199780941, 0.009728064760565758, -1.8283663988113403]"
1726109484139030021,,[],0,"[0.016879718750715256, 0.01348160021007061, -1.8347054719924927]"
1726109484172640194,,[],0,"[0.022965628653764725, 0.010848339647054672, -1.8372865915298462]"
1726109484207467399,,[],0,"[0.027670441195368767, 0.014050805941224098, -1.8397653102874756]"
1726109484239303959,,[],0,"[0.03382471576333046, 0.00903448648750782, -1.8426178693771362]"
1726109484270828304,,[],0,"[0.04437192901968956, 0.009909771382808685, -1.8453689813613892]"
1726109484305148150,,[],0,"[0.04122715815901756, 0.0060153529047966, -1.8479725122451782]"
1726109484339069525,,[],0,"[0.04640102759003639, 0.0025210094172507524, -1.8513363599777222]"
1726109484371625177,,[],0,"[0.049263667315244675, -0.0008130838396027684, -1.8539820909500122]"
1726109484405740082,,[],0,"[0.04526223614811897, -0.0020477809011936188, -1.8550326824188232]"
1726109484438541543,,[],0,"[0.047994013875722885, 0.0014734257711097598, -1.8588351011276245]"
1726109484472326862,,[],0,"[0.04493945464491844, 0.00547075318172574, -1.8609920740127563]"
