rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,channels
1726109483515523232,,14364,,1722536971,576922352,'',"[1659, 1622, 1777, 1738, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109483614058595,,14365,,1722536971,675059328,'',"[1666, 1653, 1721, 1752, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109483715440839,,14366,,1722536971,774553304,'',"[1707, 1628, 1726, 1735, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109483815879916,,14367,,1722536971,875323024,'',"[1693, 1638, 1724, 1785, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109483916452936,,14368,,1722536971,974786488,'',"[1685, 1617, 1783, 1754, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109484015564173,,14369,,1722536972,74262976,'',"[1686, 1670, 1740, 1740, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109484117260065,,14370,,1722536972,175035464,'',"[1729, 1619, 1737, 1741, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109484216106867,,14371,,1722536972,275966440,'',"[1710, 1589, 1725, 1746, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109484316395810,,14372,,1722536972,374046648,'',"[1687, 1594, 1738, 1754, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109484416320919,,14373,,1722536972,476082112,'',"[1689, 1587, 1761, 1746, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109484516893956,,14374,,1722536972,576843856,'',"[1667, 1639, 1728, 1746, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109484615918750,,14375,,1722536972,673729832,'',"[1703, 1603, 1742, 1727, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109484715514185,,14376,,1722536972,774487064,'',"[1669, 1614, 1733, 1764, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109484815304566,,14377,,1722536972,873938296,'',"[1711, 1593, 1756, 1730, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109484914340230,,14378,,1722536972,974708272,'',"[1694, 1635, 1710, 1756, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109485015002546,,14379,,1722536973,74207736,'',"[1519, 1412, 1544, 1534, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109485114746622,,14380,,1722536973,173721224,'',"[1519, 1474, 1578, 1578, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109485214846262,,14381,,1722536973,274540968,'',"[1545, 1492, 1589, 1592, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109485315616084,,14382,,1722536973,376563920,'',"[1568, 1520, 1621, 1597, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109485415831980,,14383,,1722536973,474692896,'',"[1643, 1570, 1701, 1665, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109485515842286,,14384,,1722536973,574156872,'',"[1722, 1623, 1708, 1710, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109485616336034,,14385,,1722536973,674977592,'',"[1763, 1679, 1781, 1761, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109485714883286,,14386,,1722536973,774503312,'',"[1790, 1719, 1805, 1800, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109485814360167,,14387,,1722536973,872649800,'',"[1815, 1712, 1841, 1858, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109485916257181,,14388,,1722536973,974679032,'',"[1810, 1723, 1867, 1858, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109486015738742,,14389,,1722536974,74139240,'',"[1738, 1705, 1845, 1819, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109486115766805,,14390,,1722536974,174924448,'',"[1698, 1696, 1758, 1782, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109486215112066,,14391,,1722536974,274430192,'',"[1675, 1594, 1751, 1754, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109486315487679,,14392,,1722536974,375210912,'',"[1623, 1557, 1724, 1679, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109486415323417,,14393,,1722536974,474708400,'',"[1580, 1533, 1644, 1696, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109486515815921,,14394,,1722536974,575440632,'',"[1556, 1544, 1613, 1640, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109486614205827,,14395,,1722536974,674956352,'',"[1534, 1532, 1647, 1655, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109486714975963,,14396,,1722536974,777025816,'',"[1604, 1555, 1681, 1669, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109486814969771,,14397,,1722536974,875273280,'',"[1674, 1620, 1713, 1719, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109486916042876,,14398,,1722536974,974650280,'',"[1673, 1654, 1756, 1781, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109487015571184,,14399,,1722536975,75489768,'',"[1709, 1715, 1807, 1817, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109487115276501,,14400,,1722536975,174906720,'',"[1753, 1687, 1804, 1847, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109487215257578,,14401,,1722536975,275734696,'',"[1773, 1661, 1794, 1811, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109487316165182,,14402,,1722536975,375137928,'',"[1702, 1727, 1782, 1839, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109487413850140,,14403,,1722536975,473344392,'',"[1619, 1665, 1766, 1790, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109487516294190,,14404,,1722536975,575496624,'',"[1553, 1595, 1714, 1744, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109487614592710,,14405,,1722536975,675059112,'',"[1573, 1572, 1649, 1672, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109487715641758,,14406,,1722536975,775627344,'',"[1607, 1581, 1612, 1645, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
1726109487815214702,,14407,,1722536975,875191320,'',"[1643, 1617, 1715, 1734, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0]"
