rosbagTimestamp,layout,dim,data_offset,data
1726255237705392974,,[],0,"[1.275968074798584, 2.5615346431732178, -98.03607177734375]"
1726255237739176387,,[],0,"[1.318247675895691, 2.5711753368377686, -98.02497863769531]"
1726255237765191958,,[],0,"[1.2455475330352783, 2.5906496047973633, -98.03871154785156]"
1726255237800168285,,[],0,"[1.3016606569290161, 2.508775472640991, -98.03114318847656]"
1726255237837821998,,[],0,"[1.2195419073104858, 2.496197462081909, -98.08634948730469]"
1726255237867656095,,[],0,"[1.2124741077423096, 2.5078046321868896, -98.12484741210938]"
1726255237899699867,,[],0,"[1.3244845867156982, 2.5769805908203125, -98.05227661132812]"
1726255237938615734,,[],0,"[1.2768815755844116, 2.5051960945129395, -98.05799865722656]"
1726255237967627709,,[],0,"[1.339151382446289, 2.4090771675109863, -98.1205062866211]"
1726255238003348912,,[],0,"[1.3638019561767578, 2.433795690536499, -98.11296844482422]"
1726255238041487522,,[],0,"[1.3227629661560059, 2.4759132862091064, -98.11339569091797]"
1726255238064235952,,[],0,"[1.401652455329895, 2.5091888904571533, -98.11998748779297]"
1726255238102513566,,[],0,"[1.2845999002456665, 2.4727580547332764, -98.09382629394531]"
1726255238137884089,,[],0,"[1.2900863885879517, 2.48012375831604, -98.18705749511719]"
1726255238167864727,,[],0,"[1.2529709339141846, 2.366065502166748, -98.11796569824219]"
1726255238203243362,,[],0,"[1.3343807458877563, 2.370626449584961, -98.17107391357422]"
1726255238240945311,,[],0,"[1.376079797744751, 2.3830513954162598, -98.14788818359375]"
1726255238267364796,,[],0,"[1.3461393117904663, 2.4511337280273438, -98.12828063964844]"
1726255238301325899,,[],0,"[1.4056328535079956, 2.385716199874878, -98.19075775146484]"
1726255238336927078,,[],0,"[1.413059115409851, 2.445327043533325, -98.08706665039062]"
1726255238367226292,,[],0,"[1.390968918800354, 2.52103328704834, -98.14369201660156]"
1726255238401031600,,[],0,"[1.4060903787612915, 2.467536211013794, -98.1355972290039]"
