rosbagTimestamp,layout,dim,data_offset,data
1726255237705342577,,[],0,"[0.02226984314620495, 0.04470721632242203, -1.7110521793365479]"
1726255237739440781,,[],0,"[0.02300776168704033, 0.04487547650933266, -1.710858702659607]"
1726255237765165483,,[],0,"[0.02173890545964241, 0.045215364545583725, -1.711098313331604]"
1726255237799942026,,[],0,"[0.022718263790011406, 0.043786391615867615, -1.7109662294387817]"
1726255237837799789,,[],0,"[0.02128502167761326, 0.04356686398386955, -1.7119297981262207]"
1726255237867645452,,[],0,"[0.02116166613996029, 0.04376944899559021, -1.712601661682129]"
1726255237899771514,,[],0,"[0.023116616532206535, 0.044976796954870224, -1.7113350629806519]"
1726255237938894936,,[],0,"[0.022285789251327515, 0.04372391849756241, -1.7114349603652954]"
1726255237967548022,,[],0,"[0.023372601717710495, 0.04204632714390755, -1.7125258445739746]"
1726255238002905121,,[],0,"[0.02380283549427986, 0.04247774928808212, -1.7123942375183105]"
1726255238041410305,,[],0,"[0.02308656834065914, 0.04321283847093582, -1.7124017477035522]"
1726255238064193718,,[],0,"[0.02446345053613186, 0.043793607503175735, -1.7125169038772583]"
1726255238102391053,,[],0,"[0.022420497611165047, 0.04315777122974396, -1.7120602130889893]"
1726255238138029216,,[],0,"[0.02251625433564186, 0.04328632354736328, -1.7136874198913574]"
1726255238168152744,,[],0,"[0.021868467330932617, 0.04129563271999359, -1.7124816179275513]"
1726255238203099920,,[],0,"[0.023289335891604424, 0.041375234723091125, -1.713408350944519]"
1726255238240905882,,[],0,"[0.024017123505473137, 0.04159209132194519, -1.7130037546157837]"
1726255238267645949,,[],0,"[0.02349456213414669, 0.042780354619026184, -1.712661623954773]"
1726255238301340128,,[],0,"[0.024532921612262726, 0.04163860157132149, -1.713752031326294]"
1726255238336877349,,[],0,"[0.024662533774971962, 0.04267900809645653, -1.7119423151016235]"
1726255238367214622,,[],0,"[0.024276988580822945, 0.044000331312417984, -1.7129305601119995]"
1726255238401023201,,[],0,"[0.02454090677201748, 0.04306662827730179, -1.7127892971038818]"
1726255238437626372,,[],0,"[0.02431791089475155, 0.041061338037252426, -1.7119545936584473]"
1726255238465890007,,[],0,"[0.024174103513360023, 0.03901883214712143, -1.711077094078064]"
1726255238500692336,,[],0,"[0.024288756772875786, 0.037814948707818985, -1.7114803791046143]"
1726255238537791766,,[],0,"[0.027002617716789246, 0.03484054282307625, -1.711458444595337]"
1726255238564776085,,[],0,"[0.030863752588629723, 0.031054195016622543, -1.7096177339553833]"
1726255238602037600,,[],0,"[0.030928155407309532, 0.028983885422348976, -1.7098658084869385]"
1726255238637639667,,[],0,"[0.029860464856028557, 0.025980619713664055, -1.7101317644119263]"
1726255238665823440,,[],0,"[0.032008130103349686, 0.021772071719169617, -1.7095794677734375]"
1726255238700422662,,[],0,"[0.03347810357809067, 0.01960468478500843, -1.7091089487075806]"
1726255238739315740,,[],0,"[0.0379163958132267, 0.014903906732797623, -1.70827054977417]"
1726255238765605756,,[],0,"[0.039726585149765015, 0.010024861432611942, -1.7073650360107422]"
1726255238800469723,,[],0,"[0.041691310703754425, 0.006541252136230469, -1.705998182296753]"
1726255238843754829,,[],0,"[0.045436959713697433, -5.95845231146086e-05, -1.7039357423782349]"
1726255238866760992,,[],0,"[0.0491642951965332, -0.008246511220932007, -1.7034980058670044]"
1726255238901339229,,[],0,"[0.0507393404841423, -0.01239883340895176, -1.7012861967086792]"
1726255238938566122,,[],0,"[0.06012614816427231, -0.01922038570046425, -1.6965011358261108]"
1726255238966907173,,[],0,"[0.06422491371631622, -0.019945751875638962, -1.6963622570037842]"
1726255238999852925,,[],0,"[0.06731947511434555, -0.019583551213145256, -1.6955333948135376]"
1726255239042218675,,[],0,"[0.06882516294717789, -0.01972206123173237, -1.695965051651001]"
1726255239068575161,,[],0,"[0.07527900487184525, -0.017019841820001602, -1.695807695388794]"
1726255239101005353,,[],0,"[0.0746774896979332, -0.016807058826088905, -1.6955981254577637]"
1726255239137593438,,[],0,"[0.07391911000013351, -0.013777745887637138, -1.697307825088501]"
1726255239167690738,,[],0,"[0.07157478481531143, -0.007085363380610943, -1.6987956762313843]"
1726255239200334762,,[],0,"[0.07437010109424591, 0.0008013370679691434, -1.700791358947754]"
1726255239237185472,,[],0,"[0.06999138742685318, 0.011753388680517673, -1.7036066055297852]"
1726255239268040408,,[],0,"[0.06814794987440109, 0.027447618544101715, -1.7045235633850098]"
1726255239302182491,,[],0,"[0.06635919958353043, 0.04202990606427193, -1.7058058977127075]"
1726255239340478542,,[],0,"[0.06198620796203613, 0.062105223536491394, -1.7075655460357666]"
1726255239375203652,,[],0,"[0.05683513358235359, 0.08384405821561813, -1.7089835405349731]"
1726255239401214710,,[],0,"[0.05130571871995926, 0.09007125347852707, -1.7102173566818237]"
1726255239437980931,,[],0,"[0.051125261932611465, 0.09976062178611755, -1.711899995803833]"
1726255239467000654,,[],0,"[0.04795144498348236, 0.10257477313280106, -1.7129167318344116]"
1726255239500968928,,[],0,"[0.04495663195848465, 0.10355638712644577, -1.7133864164352417]"
1726255239538653533,,[],0,"[0.04344978183507919, 0.10549862682819366, -1.7153981924057007]"
1726255239565570249,,[],0,"[0.038730036467313766, 0.10548742115497589, -1.7169911861419678]"
1726255239600726112,,[],0,"[0.035279616713523865, 0.10293502360582352, -1.7159017324447632]"
1726255239637699523,,[],0,"[0.03036768175661564, 0.09317406266927719, -1.719128131866455]"
1726255239666717084,,[],0,"[0.025318441912531853, 0.07993166148662567, -1.720202922821045]"
1726255239699707521,,[],0,"[0.02676752582192421, 0.07643205672502518, -1.720086932182312]"
1726255239737425335,,[],0,"[0.023490263149142265, 0.06579884886741638, -1.7229065895080566]"
1726255239765268861,,[],0,"[0.02430756762623787, 0.056175850331783295, -1.7242125272750854]"
1726255239800887343,,[],0,"[0.02610563486814499, 0.0465550497174263, -1.7257758378982544]"
1726255239838917916,,[],0,"[0.0310522373765707, 0.03403828293085098, -1.7263238430023193]"
1726255239868381622,,[],0,"[0.028085704892873764, 0.02095940336585045, -1.7283140420913696]"
1726255239901113714,,[],0,"[0.030881812795996666, 0.017654340714216232, -1.7293651103973389]"
1726255239937348660,,[],0,"[0.02469620667397976, 0.017388591542840004, -1.7315866947174072]"
1726255239965789550,,[],0,"[0.01701684668660164, 0.01805841363966465, -1.7317782640457153]"
1726255240000903102,,[],0,"[0.010362044908106327, 0.015118371695280075, -1.731587290763855]"
1726255240041496485,,[],0,"[0.00950885470956564, 0.01845204085111618, -1.7325688600540161]"
1726255240065852304,,[],0,"[0.009909436106681824, 0.018314072862267494, -1.7329705953598022]"
