rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1748401228745253472,,23703,,1747960082,884104640,'',41,"[1364, 1494, 1492, 1492, 1939, 2006, 1494, 1494, 874, 874, 874, 874, 874, 874, 874, 874, 998, 998]"
1748401228844915207,,23704,,1747960082,929104640,'',41,"[1364, 1494, 1492, 1492, 1939, 2006, 1494, 1494, 874, 874, 874, 874, 874, 874, 874, 874, 998, 998]"
1748401228943428424,,23705,,1747960082,972106688,'',41,"[1364, 1494, 1492, 1492, 1939, 2006, 1494, 1494, 874, 874, 874, 874, 874, 874, 874, 874, 998, 998]"
1748401229048404501,,23706,,1747960083,36106688,'',41,"[1364, 1494, 1492, 1492, 1939, 2006, 1494, 1494, 874, 874, 874, 874, 874, 874, 874, 874, 998, 998]"
1748401229143681719,,23707,,1747960083,58106688,'',41,"[1364, 1494, 1492, 1492, 1939, 2006, 1494, 1494, 874, 874, 874, 874, 874, 874, 874, 874, 998, 998]"
1748401229246481540,,23708,,1747960083,125107456,'',41,"[1364, 1494, 1492, 1491, 1939, 2006, 1494, 1494, 874, 874, 874, 874, 874, 874, 874, 874, 998, 998]"
1748401229344728037,,23709,,1747960083,167107456,'',41,"[1364, 1494, 1492, 1491, 1939, 2006, 1494, 1494, 874, 874, 874, 874, 874, 874, 874, 874, 998, 998]"
1748401229447934254,,23710,,1747960083,235107712,'',41,"[1364, 1494, 1492, 1491, 1939, 2006, 1494, 1494, 874, 874, 874, 874, 874, 874, 874, 874, 998, 998]"
1748401229544272990,,23711,,1747960083,278107712,'',41,"[1364, 1494, 1492, 1491, 1939, 2006, 1494, 1494, 874, 874, 874, 874, 874, 874, 874, 874, 998, 998]"
1748401229645652412,,23712,,1747960083,323107968,'',41,"[1364, 1494, 1492, 1491, 1939, 2006, 1494, 1494, 874, 874, 874, 874, 874, 874, 874, 874, 998, 998]"
1748401229745466520,,23713,,1747960083,368107968,'',41,"[1364, 1494, 1492, 1491, 1939, 2006, 1494, 1494, 874, 874, 874, 874, 874, 874, 874, 874, 998, 998]"
