rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,channels
1748401228814044235,,11852,,1747960082,920697640,'',"[1571, 1654, 1887, 1900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1748401229015841483,,11853,,1747960083,20409688,'',"[1667, 1729, 1783, 1785, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1748401229213220900,,11854,,1747960083,120054688,'',"[1700, 1729, 1699, 1700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1748401229412579773,,11855,,1747960083,219775456,'',"[1727, 1723, 1645, 1658, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1748401229612637486,,11856,,1747960083,319466712,'',"[1721, 1731, 1615, 1623, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1748401229815286523,,11857,,1747960083,419157968,'',"[1701, 1742, 1615, 1628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1748401230011517980,,11858,,1747960083,518928808,'',"[1688, 1726, 1631, 1637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1748401230215471565,,11859,,1747960083,619915088,'',"[1673, 1719, 1624, 1636, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1748401230410887358,,11860,,1747960083,716914720,'',"[1687, 1712, 1650, 1653, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1748401230612645283,,11861,,1747960083,819269304,'',"[1660, 1692, 1664, 1644, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1748401230813885917,,11862,,1747960083,919043816,'',"[1648, 1688, 1673, 1641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1748401231011995065,,11863,,1747960084,20026400,'',"[1650, 1667, 1666, 1652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1748401231212394617,,11864,,1747960084,117062144,'',"[1640, 1662, 1688, 1639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1748401231413744288,,11865,,1747960084,219408728,'',"[1625, 1668, 1688, 1654, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
