x,vx,y,vy,z,vz,phi,dphi,theta,dtheta,psi,dpsi,wx,wy,wz
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.157029632679489772e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
5.034868123905733399e-03,5.238759108997208536e-01,7.509010090188652543e-03,7.676752492690839258e-01,2.977804527027677839e+00,1.795994558673916996e+00,7.489987044838872930e-06,7.340187303942095421e-04,3.678256303126744921e-06,3.604691177064210336e-04,-7.722748811448279863e-04,-7.568293835219314092e-02,1.522941737847949284e+00,1.589613021529793224e+00,9.100298122352218355e-01
-1.505619293301470275e-03,-4.838091889981989413e-02,1.575305112443642222e-03,9.816645402728772785e-02,1.832168972301386756e+00,1.922199650973425822e+00,1.182835199477065211e-03,1.525293777732379154e-02,-8.201687088848865805e-04,-3.711505946831432368e-02,-1.453312997436534849e-03,-5.885392719221956004e-02,9.308419933412027669e-01,9.163374739454256401e-01,9.863316803247633713e-01
1.694523126179455039e-04,5.656251275218115993e-02,4.733261908728589665e-03,1.856978504861933332e-01,1.996614945044522971e+00,1.870047940732867842e+00,5.710070222511012469e-03,3.028606731731112167e-02,6.692836415155206664e-02,-4.527964334880797692e-02,-2.151732068209973210e-03,-7.167977582411019788e-02,9.945053866975687162e-01,9.944725196954209423e-01,1.003708606746419818e+00
6.767743221385639748e-04,6.129281762944784051e-02,6.880940353934809732e-03,2.101703861312848309e-01,2.025727478731823794e+00,1.798483014368802868e+00,1.479545430437476973e-03,3.966375725887541503e-02,1.899630859419604951e-03,-5.372220105625253456e-02,-3.020866642600122508e-03,-8.702781575852107376e-02,1.010199919701039617e+00,1.004622820682382400e+00,1.004365994124349903e+00
1.587685497687408567e-03,9.701320833830451296e-02,9.057970724725621786e-03,2.246858051930752387e-01,2.047318223880148835e+00,1.698296984264699105e+00,1.087188712291884199e-02,5.016638507957334181e-02,3.708288007762533534e-02,-5.946035962712369755e-02,-4.410007050807066530e-03,-9.963624299351708791e-02,1.010063525936597539e+00,1.011442908318651801e+00,1.016191738934211442e+00
2.370839064588690752e-03,1.026044326913638921e-01,1.140795118832279090e-02,2.447608358174720722e-01,2.065865094457024487e+00,1.609418403640558104e+00,4.273920884993517334e-03,5.784199160488143893e-02,1.049132303778904825e-02,-6.634269455893064549e-02,-5.324849226219886128e-03,-1.122292159537174039e-01,1.016360423033657367e+00,1.011551921444430846e+00,1.010445843705559898e+00
3.533346382416543887e-03,1.313453877684903071e-01,1.375447128186820141e-02,2.541908396191249753e-01,2.081473118730630567e+00,1.517971742729412821e+00,1.335921611849238619e-02,6.566287617912526520e-02,2.574898737912963489e-02,-6.866624640273079339e-02,-6.617526660627957164e-03,-1.235623599392961097e-01,1.009968604776083412e+00,1.013225948596456760e+00,1.007986831728262311e+00
4.863976738613731698e-03,1.532815614046504904e-01,1.637248167626390027e-02,2.766040417649379135e-01,2.095253533982930794e+00,1.423023919629967216e+00,4.092177169590278246e-03,7.027501301239919007e-02,3.034468900456623736e-02,-7.174256216322665025e-02,-7.638548659112856520e-03,-1.368101491129923575e-01,1.004641391576195142e+00,1.006317308667066701e+00,1.004452253825324881e+00
6.327691665966150153e-03,1.708961057037569620e-01,1.917156158678528718e-02,2.965878744754040230e-01,2.107514185572463283e+00,1.318638547203349720e+00,-1.325023844073974820e-03,7.756558511751451834e-02,3.018495124999491866e-02,-7.658348996615203796e-02,-8.750889125518003520e-03,-1.445379039259641341e-01,9.990194888185118804e-01,9.996553537185918215e-01,1.007370503668367112e+00
8.109384460658165122e-03,1.961738244004288534e-01,2.202756549742717479e-02,3.069678772911216824e-01,2.121095069114905307e+00,1.239152909136221004e+00,3.290310914875176334e-03,8.116533947627019296e-02,3.634683441960788464e-02,-8.049804213853190005e-02,-1.024605289175968201e-02,-1.524661866965514034e-01,9.882948580254693471e-01,9.965024762277755466e-01,1.002402090045836136e+00
9.891053040926280071e-03,2.072895869857049322e-01,2.516009639492457900e-02,3.286054266160285398e-01,2.133594136456321788e+00,1.154734365177465527e+00,-1.877667870149364853e-03,8.437605138716294806e-02,3.030695244966151100e-02,-8.494569232111390256e-02,-1.146501998209121208e-02,-1.592665947713220176e-01,9.822619151257858672e-01,9.852720829640728706e-01,9.991940145594359057e-01
1.186888188481547042e-02,2.230783893368447346e-01,2.847118140128384114e-02,3.456745391056035288e-01,2.146745154989369908e+00,1.077862948773438134e+00,-3.073765255454140484e-03,8.789496752411529723e-02,2.796129335180544406e-02,-8.969853170997621472e-02,-1.289303805935071781e-02,-1.675116950669446603e-01,9.722448157154710557e-01,9.771519074836357843e-01,9.989827410360032633e-01
1.396233529237803604e-02,2.371909563440740276e-01,3.160646720374001017e-02,3.447329483042214648e-01,2.158631031735515737e+00,9.944035675342380864e-01,8.167312815419859595e-03,9.166963899591530629e-02,2.523298296664220827e-02,-9.105200558608721184e-02,-1.509116505196058874e-02,-1.742289934606139901e-01,9.609223135129676407e-01,9.745988127017459757e-01,9.987072516838862990e-01
1.628843878303226633e-02,2.560848531138795736e-01,3.510575375558955269e-02,3.655804279871234796e-01,2.169850632025497106e+00,9.200735204635396292e-01,4.568012805266771434e-03,9.406015430513374465e-02,2.577333926522699242e-02,-9.513037622564562978e-02,-1.666027210312946358e-02,-1.823025531454995352e-01,9.465598343961144634e-01,9.593775201515507556e-01,9.952114905152392721e-01
1.873804588329073054e-02,2.714861612583253647e-01,3.865181674576783494e-02,3.775033037864914398e-01,2.179488472489044870e+00,8.382522969638840360e-01,5.993776204644683282e-03,9.592662333030546606e-02,2.491914513182523147e-02,-9.826713288663646573e-02,-1.847971625797040912e-02,-1.886095567889017610e-01,9.329223943101819794e-01,9.480396188155465476e-01,9.933881711554575222e-01
2.112520866283174731e-02,2.752851461015642376e-01,4.237345709313455194e-02,3.929230287748898265e-01,2.188000993019679985e+00,7.557244227926516178e-01,5.049790416498517280e-03,9.826603099558373078e-02,1.775790206758548137e-02,-9.837519333101928110e-02,-2.032593903329119739e-02,-1.952554876048517851e-01,9.235148480391032200e-01,9.337358352146531981e-01,9.903505250019057904e-01
2.380715465730628630e-02,2.926198346579449994e-01,4.597805358707751644e-02,3.913585190241313794e-01,2.196649818683537259e+00,6.812424411950321890e-01,1.348842355118228843e-02,1.016755736112453234e-01,1.861484323409408337e-02,-1.017993305144889588e-01,-2.251869123811066700e-02,-2.000503309620897674e-01,9.067151437082198173e-01,9.285565514296360012e-01,9.864375311691122583e-01
